,truth_depositions_sum,true_energy_init
0,57319.926191329956,272.1339884171484
1,17194.79584121704,858.1403518851106
2,147425.1262588501,739.8429947441239
3,430833.8186683655,2141.7174317476683
4,101795.23748397827,365.96674384947113
5,199483.74494171143,837.0541198190832
6,138407.3477048874,591.5635953735579
7,298572.1227579117,1394.2522051240014
8,16023.707841873169,64.41275905128404
9,336702.58582115173,1441.963640640216
10,530815.3480482101,2344.324265160851
11,267316.3468952179,1111.3798996103521
12,296991.16009902954,1258.7208696392752
13,222605.00316810608,918.4154010867397
14,40815.0369682312,166.08875455384492
15,138723.50912094116,621.7717301010687
16,51998.65245628357,239.26743262435627
17,291264.27258872986,1379.85621313577
18,135692.84356880188,687.3445162764465
19,35021.31785583496,204.36094258169763
20,232660.3588399887,1070.3349014918026
21,96552.72955131531,476.8673539994725
22,135218.38311767578,582.9907575101374
23,275179.92792892456,1286.5429286014717
24,15863.801532745361,88.9864869885932
25,143584.35686683655,646.1837985061949
26,101280.17162322998,406.3323621221572
27,160250.49022483826,624.7178630205302
28,73571.51330566406,384.6093123088387
29,105644.90065956116,512.8779284430723
30,224983.37896823883,1158.337295707058
31,70107.56168174744,340.18253425180336
32,355617.8058834076,1679.6397920676482
33,234351.52655029297,1196.4061989152394
34,66477.29299736023,325.5859408485565
35,324476.50670337677,1676.6146430512856
36,144763.90769577026,679.3013240501576
37,317906.9845676422,1266.6711017393288
38,51903.25340461731,246.70166031592342
39,151692.4049282074,672.5967034303641
40,112745.77599716187,447.66961840678124
41,354421.1521425247,1937.4242800740392
42,185038.1043510437,937.7752582254593
